gerçekleştirildi. Elemesiz: 1 defa bulunmaktadır
Elemesiz turda: 1 defa bulunmaktadır
turda en: 2 defa bulunmaktadır
en yüksek: 5 defa bulunmaktadır
yüksek teklif: 5 defa bulunmaktadır
teklif 1: 3 defa bulunmaktadır
1 milyar: 4 defa bulunmaktadır
milyar 200: 1 defa bulunmaktadır
200 milyon: 1 defa bulunmaktadır
milyon dolar: 6 defa bulunmaktadır
dolar oldu.: 2 defa bulunmaktadır
oldu. Elemesiz: 1 defa bulunmaktadır
Elemesiz turun: 1 defa bulunmaktadır
turun ardından: 1 defa bulunmaktadır
ardından elemeli: 1 defa bulunmaktadır
elemeli turlara: 1 defa bulunmaktadır
turlara geçildi.: 1 defa bulunmaktadır
geçildi. 1.: 1 defa bulunmaktadır
1. elemeli: 1 defa bulunmaktadır
elemeli turunda: 1 defa bulunmaktadır
turunda en: 1 defa bulunmaktadır
en yüksek: 5 defa bulunmaktadır
yüksek teklif: 5 defa bulunmaktadır
teklif 1: 3 defa bulunmaktadır
1 milyar: 4 defa bulunmaktadır
milyar 600: 1 defa bulunmaktadır
600 milyon: 1 defa bulunmaktadır
milyon dolar: 6 defa bulunmaktadır
dolar olurken: 3 defa bulunmaktadır
olurken en: 1 defa bulunmaktadır
en düşük: 1 defa bulunmaktadır
düşük teklifi: 1 defa bulunmaktadır
teklifi veren: 1 defa bulunmaktadır
veren Özkar: 1 defa bulunmaktadır
Özkar İnşaat: 2 defa bulunmaktadır
İnşaat Sanayi: 4 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.: 3 defa bulunmaktadır
A.Ş. ile: 1 defa bulunmaktadır
ile Elsan: 1 defa bulunmaktadır
Elsan Elektrik: 2 defa bulunmaktadır
Elektrik Gereçleri: 2 defa bulunmaktadır
Gereçleri Sanayi: 2 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.: 3 defa bulunmaktadır
A.Ş. elendi.: 1 defa bulunmaktadır
elendi. 2.: 1 defa bulunmaktadır
2. Elemeli: 1 defa bulunmaktadır
Elemeli turda: 2 defa bulunmaktadır
turda en: 2 defa bulunmaktadır
en yüksek: 5 defa bulunmaktadır
yüksek teklif: 5 defa bulunmaktadır
teklif 1: 3 defa bulunmaktadır
1 milyar: 4 defa bulunmaktadır
milyar 800: 1 defa bulunmaktadır
800 milyon: 1 defa bulunmaktadır
milyon dolar: 6 defa bulunmaktadır
dolar olurken: 3 defa bulunmaktadır
olurken Altek: 1 defa bulunmaktadır
Altek Alarko: 2 defa bulunmaktadır
Alarko Elektrik: 2 defa bulunmaktadır
Elektrik Santralları: 2 defa bulunmaktadır
Santralları Tesis: 2 defa bulunmaktadır
Tesis İşletme: 2 defa bulunmaktadır
İşletme ve: 2 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.: 3 defa bulunmaktadır
A.Ş. ve: 1 defa bulunmaktadır
ve Bilgin: 1 defa bulunmaktadır
Bilgin Enerji-Suba: 2 defa bulunmaktadır
Enerji-Suba Ortak: 2 defa bulunmaktadır
Ortak Girişim: 6 defa bulunmaktadır
Girişim Grubu: 2 defa bulunmaktadır
Grubu elendi.: 2 defa bulunmaktadır
elendi. 3.: 1 defa bulunmaktadır
3. Elemeli: 1 defa bulunmaktadır
Elemeli turda: 2 defa bulunmaktadır
turda ise: 1 defa bulunmaktadır
ise Doğan: 1 defa bulunmaktadır
Doğan Enerji: 2 defa bulunmaktadır
Enerji ve: 1 defa bulunmaktadır
ve IC: 1 defa bulunmaktadır
IC İçtaş: 2 defa bulunmaktadır
İçtaş Enerji: 2 defa bulunmaktadır
Enerji Üretim: 4 defa bulunmaktadır
Üretim ve: 3 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.-Fernas: 2 defa bulunmaktadır
A.Ş.-Fernas İnşaat: 2 defa bulunmaktadır
İnşaat A.Ş.: 2 defa bulunmaktadır
A.Ş. Ortak: 2 defa bulunmaktadır
Ortak Girişim: 6 defa bulunmaktadır
Girişim Grubu: 2 defa bulunmaktadır
Grubu elendi.: 2 defa bulunmaktadır
elendi. -AÇIK: 1 defa bulunmaktadır
-AÇIK ARTTIRMA: 1 defa bulunmaktadır
ARTTIRMA 1: 1 defa bulunmaktadır
1 MİLYAR: 1 defa bulunmaktadır
MİLYAR 912: 1 defa bulunmaktadır
912 MİLYON: 1 defa bulunmaktadır
MİLYON DOLARLA: 1 defa bulunmaktadır
DOLARLA BAŞLADI-: 1 defa bulunmaktadır
BAŞLADI- Elemeli: 1 defa bulunmaktadır
Elemeli turların: 1 defa bulunmaktadır
turların ardından: 1 defa bulunmaktadır
ardından açık: 1 defa bulunmaktadır
açık artırmaya: 1 defa bulunmaktadır
artırmaya geçildi.: 1 defa bulunmaktadır
geçildi. Açık: 1 defa bulunmaktadır
Açık arttırma: 2 defa bulunmaktadır
arttırma başlangıç: 1 defa bulunmaktadır
başlangıç tutarı: 1 defa bulunmaktadır
tutarı 1: 1 defa bulunmaktadır
1 milyar: 4 defa bulunmaktadır
milyar 912: 1 defa bulunmaktadır
912 milyon: 1 defa bulunmaktadır
milyon dolar: 6 defa bulunmaktadır
dolar olurken: 3 defa bulunmaktadır
olurken artırım: 1 defa bulunmaktadır
artırım aralığı: 1 defa bulunmaktadır
aralığı 2: 1 defa bulunmaktadır
2 milyon: 1 defa bulunmaktadır
milyon dolar: 6 defa bulunmaktadır
dolar oldu.: 2 defa bulunmaktadır
oldu. Açık: 1 defa bulunmaktadır
Açık arttırma: 2 defa bulunmaktadır
arttırma bölümünde: 1 defa bulunmaktadır
bölümünde ihaleye: 1 defa bulunmaktadır
ihaleye en: 1 defa bulunmaktadır
en yüksek: 5 defa bulunmaktadır
yüksek teklif: 5 defa bulunmaktadır
teklif 2: 2 defa bulunmaktadır
2 milyar: 3 defa bulunmaktadır
milyar 248: 3 defa bulunmaktadır
248 milyon: 3 defa bulunmaktadır
milyon dolarla: 2 defa bulunmaktadır
dolarla Çelikler: 2 defa bulunmaktadır
Çelikler Taahhüt: 4 defa bulunmaktadır
Taahhüt İnşaat: 4 defa bulunmaktadır
İnşaat ve: 4 defa bulunmaktadır
ve Sanayi: 4 defa bulunmaktadır
Sanayi A.Ş.'den: 2 defa bulunmaktadır
A.Ş.'den geldi.: 2 defa bulunmaktadır
geldi. Böylece: 1 defa bulunmaktadır
Böylece ihale: 1 defa bulunmaktadır
ihale teknik: 1 defa bulunmaktadır
teknik olarak: 1 defa bulunmaktadır
olarak sonuçlanmış: 1 defa bulunmaktadır
sonuçlanmış oldu.(ANKA): 1 defa bulunmaktadır
